BurstID,Candidate name,Heimdall DM (pc cm^-3),Time width (ms),Frequency width (MHz),Center frequency (GHz),S/N,Fluence (Jy),FETCH models,drift,drift err
B104,./cand_tstart_59874.856689814813_tcand_69.6161000_dm_220.89000_snr_35.21640.h5,220.89,4.096,276,1.366,49.392,4.229,"[1.0, 0.9999995, 1.0, 0.99994004, 1.0, 0.9990319999999999, 0.9913039, 1.0]",,
B105,./cand_tstart_59874.857510703703_tcand_98.2984000_dm_224.96700_snr_20.94510.h5,224.967,8.192,296,1.374,36.144,3.657,"[0.96345156, 0.99999607, 0.9807582, 0.24546342, 0.6292641999999999, 0.9999925999999999, 0.92090535, 0.99565697]",,
B106,./cand_tstart_59874.858899592589_tcand_85.3220000_dm_231.09300_snr_8.52312.h5,231.093,14.08,368,1.502,10.413,1.44,"[1.97e-06, 8.38e-06, 4.91e-06, 8.38e-10, 4.27e-08, 6.35e-10, 9.96e-05, 3.19e-12]",,
B107,./cand_tstart_59874.858899592589_tcand_9.9149800_dm_233.19000_snr_23.15870.h5,233.19,10.24,432,1.522,23.474,2.484,"[0.9908766, 1.0, 0.9984896000000001, 0.006866564, 0.2866538, 0.99999714, 0.9982931, 0.9999783000000001]",,
B108,./cand_tstart_59874.860288481483_tcand_44.8463000_dm_226.95700_snr_15.10790.h5,226.957,4.096,336,1.49,15.407,1.149,"[1.0, 0.9999998999999999, 1.0, 0.9997235000000001, 1.0, 0.99999976, 0.9927604, 1.0]",,
B109,./cand_tstart_59874.861677370369_tcand_57.9896000_dm_222.89400_snr_19.23850.h5,222.894,5.888,204,1.554,28.294,3.304,"[0.000993975, 0.11166643, 0.019367033999999998, 1.6100000000000002e-05, 0.000129968, 0.00019772, 0.004969217, 0.18538110000000002]",,
B110,./cand_tstart_59874.861677370369_tcand_89.2512000_dm_226.95700_snr_8.16375.h5,226.957,5.12,344,1.398,8.035,0.707,"[0.99980277, 0.4223042, 0.9999695, 0.23957603, 0.99999964, 0.22613263, 1.4300000000000002e-05, 1.0]",,
B111,./cand_tstart_59874.870831592591_tcand_115.2410000_dm_235.30500_snr_21.91610.h5,235.305,9.472,408,1.43,29.285,3.067,"[0.39125887, 0.99994874, 0.027226496, 0.013260879, 0.000423739, 0.6622786, 0.9348599, 0.9975535]",,
B112,./cand_tstart_59874.872220481477_tcand_26.6670000_dm_224.91600_snr_20.18940.h5,224.916,5.12,256,1.382,23.939,2.194,"[1.0, 0.99999595, 1.0, 0.99984527, 1.0, 0.9999995, 0.86896163, 1.0]",,
B113,./cand_tstart_59874.873041370367_tcand_1.2834600_dm_224.91600_snr_26.98920.h5,224.916,4.352,288,1.442,31.311,2.618,"[1.0, 0.99170893, 0.9999994000000001, 0.9997428, 1.0, 0.22552899, 0.6302456, 1.0]",,
B114,./cand_tstart_59874.873041370367_tcand_48.4518000_dm_233.19000_snr_12.76850.h5,233.19,7.936,496,1.474,12.654,1.125,"[0.94006866, 0.9998018, 0.9214502, 0.0038406070000000002, 0.13628681, 0.999642, 0.06578723, 0.999757]",,
B115,./cand_tstart_59875.850902777776_tcand_24.559283999999998_dm_235.37500_snr_36.08020.h5,235.375,19.84,208,1.634,22.55,4.764,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B116,./cand_tstart_59875.850902777776_tcand_24.5857000_dm_235.37500_snr_36.08020.h5,235.375,16,280,1.594,29.758,4.677,"[0.6373897, 0.9999474, 0.01636719, 0.11808572, 0.007382006, 0.9999809000000001, 0.99838865, 0.89558244]",,
B117,./cand_tstart_59875.850902777776_tcand_55.9493000_dm_222.89300_snr_11.52810.h5,222.893,6.4,248,1.37,14.377,1.415,"[0.9999914000000001, 0.9999573, 0.99999464, 0.9998950000000001, 1.0, 0.9999986999999999, 0.98305976, 1.0]",,
B118,./cand_tstart_59875.850902777776_tcand_55.9493000_dm_222.89400_snr_11.67940.h5,222.894,6.4,248,1.37,13.928,1.371,"[0.9999918999999999, 0.99995005, 0.9999945, 0.9998888000000001, 1.0, 0.9999988999999999, 0.98219854, 1.0]",,
B119,./cand_tstart_59875.852291666662_tcand_17.9461000_dm_231.15500_snr_33.58870.h5,231.155,7.424,276,1.494,38.972,4.172,"[0.69526845, 1.0, 0.9999895000000001, 0.9166501, 0.11650927, 1.0, 0.9842919, 0.9968918999999999]",,
B120,./cand_tstart_59875.852291666662_tcand_17.9474000_dm_229.01500_snr_34.50760.h5,229.015,7.424,276,1.494,41.527,4.446,"[0.7868255999999999, 1.0, 0.9994777, 0.9412053, 0.039799616, 1.0, 0.994553, 0.999851]",,
B121,./cand_tstart_59875.852291666662_tcand_17.9474000_dm_229.01600_snr_34.50760.h5,229.016,7.424,276,1.494,40.233,4.307,"[0.7877673000000001, 1.0, 0.99949753, 0.9420164000000001, 0.04067477, 1.0, 0.9947254999999999, 0.99984634]",,
B122,./cand_tstart_59875.852291666662_tcand_68.8363000_dm_226.95600_snr_9.02495.h5,226.956,9.984,144,1.31,13.741,2.437,"[0.002276664, 0.009819855, 1.24e-05, 0.000122575, 0.0005521780000000001, 5.3500000000000006e-05, 7.11e-05, 2.4199999999999997e-07]",,
B123,./cand_tstart_59875.852291666662_tcand_68.8363000_dm_226.95700_snr_9.02495.h5,226.957,9.984,144,1.31,13.741,2.437,"[0.002228184, 0.009741277, 1.26e-05, 0.000112449, 0.000540558, 5.21e-05, 6.840000000000001e-05, 2.4e-07]",,
B124,./cand_tstart_59875.853680555556_tcand_10.8394000_dm_229.01600_snr_21.65520.h5,229.016,7.936,196,1.338,24.678,3.084,"[0.99765944, 1.0, 0.9810823000000001, 0.6066214, 0.008245685, 0.99967194, 0.5754592, 0.9975128000000001]",,
B125,./cand_tstart_59875.855069444442_tcand_105.8610000_dm_222.89300_snr_10.47170.h5,222.893,2.048,108,1.686,16.955,1.522,"[0.99978703, 0.9847670000000001, 0.9999924000000001, 0.9999341, 0.99998534, 0.9998876, 0.026516564, 1.0]",,
B126,./cand_tstart_59875.855069444442_tcand_105.8610000_dm_222.89400_snr_10.52610.h5,222.894,2.048,108,1.686,16.955,1.522,"[0.99982077, 0.9828661, 0.99999166, 0.99994075, 0.99998534, 0.9998776, 0.025859773, 1.0]",,
B127,./cand_tstart_59875.855069444442_tcand_46.6905000_dm_226.95600_snr_22.14750.h5,226.956,4.608,180,1.49,29.075,2.919,"[0.9999994000000001, 0.9999998999999999, 1.0, 0.9998815000000001, 0.9999998999999999, 0.99999785, 0.96100247, 1.0]",,
B128,./cand_tstart_59875.855069444442_tcand_46.6918000_dm_224.96600_snr_20.60070.h5,224.966,4.352,180,1.49,29.694,2.897,"[1.0, 0.99999774, 1.0, 0.9969541999999999, 1.0, 0.99999976, 0.9906318000000001, 1.0]",,
B129,./cand_tstart_59875.855069444442_tcand_46.6918000_dm_224.96700_snr_20.60070.h5,224.967,4.352,180,1.49,29.587,2.887,"[1.0, 0.99999785, 1.0, 0.9970572, 1.0, 0.9999998999999999, 0.99097615, 1.0]",,
B130,./cand_tstart_59875.857847222222_tcand_28.0773000_dm_233.18900_snr_19.58260.h5,233.189,6.4,228,1.506,20.407,2.159,"[0.9862995999999999, 0.9999998999999999, 0.9217408000000001, 0.29672477, 0.011747252, 0.9999974, 0.9873603000000001, 0.9998147]",,
B131,./cand_tstart_59875.857847222222_tcand_28.0812000_dm_227.01100_snr_18.87210.h5,227.011,5.888,220,1.502,22.203,2.305,"[1.0, 1.0, 1.0, 0.999864, 1.0, 1.0, 0.99495333, 1.0]",,
B132,./cand_tstart_59875.860056999998_tcand_42.2799000_dm_231.15500_snr_59.25110.h5,231.155,9.216,268,1.382,72.144,8.363,"[0.8427539000000001, 1.0, 0.9999995, 0.9953056999999998, 0.4210441, 1.0, 0.9999658000000001, 0.9999979999999999]",,
B133,./cand_tstart_59875.860056999998_tcand_42.2800000_dm_231.09300_snr_61.99180.h5,231.093,9.216,268,1.382,70.458,8.168,"[0.878861, 1.0, 0.9999994000000001, 0.99732095, 0.48060918, 1.0, 0.9999783999999999, 0.9999969000000001]",,
B134,./cand_tstart_59875.861445888891_tcand_1.9337000_dm_233.25600_snr_31.29690.h5,233.256,13.44,460,1.474,31.297,3.492,"[0.0008745189999999999, 0.9866349, 0.00019344799999999998, 0.30672538, 0.0019127760000000001, 0.8340711999999999, 0.05780459599999999, 1.22e-08]",,
B135,./cand_tstart_59875.861445888891_tcand_101.1800000_dm_233.25600_snr_14.55200.h5,233.256,8.448,272,1.51,16.648,1.848,"[0.9322604999999999, 0.9999964, 0.6681471, 0.531261, 0.20530039, 0.99999094, 0.93811697, 0.99714017]",,
B136,./cand_tstart_59875.861445888891_tcand_49.2736000_dm_224.96700_snr_7.77593.h5,224.967,6.4,140,1.51,12.201,1.699,"[0.99996877, 0.8111366999999999, 0.99989974, 0.99994695, 0.999992, 0.99998105, 0.2888312, 1.0]",,
B137,./cand_tstart_59875.862834777778_tcand_22.5284000_dm_222.94000_snr_22.60640.h5,222.94,5.12,188,1.334,31.401,3.37,"[0.9999998999999999, 0.9999988999999999, 1.0, 0.9999650999999999, 1.0, 1.0, 0.98632413, 1.0]",,
B138,./cand_tstart_59875.864223666671_tcand_106.9650000_dm_222.94000_snr_22.89450.h5,222.94,10.832,304,1.43,21.879,2.653,"[0.5809715, 0.9998055, 0.33815992, 0.50300395, 0.05477099, 0.9929725, 0.7261515000000001, 0.9995245999999999]",,
B139,./cand_tstart_59875.864223666671_tcand_109.8960000_dm_229.01500_snr_16.20590.h5,229.015,6.144,256,1.566,19.857,2.082,"[0.9805908999999999, 0.99996614, 0.23190095, 0.56329983, 0.088118486, 0.9999925999999999, 0.8831046, 0.99934965]",,
B140,./cand_tstart_59875.864223666671_tcand_26.0158000_dm_218.90400_snr_12.66920.h5,218.904,3.072,208,1.342,18.716,1.455,"[0.99999917, 0.9997296, 1.0, 0.9984124, 1.0, 0.999959, 0.9343357, 1.0]",,
B141,./cand_tstart_59875.865612555557_tcand_62.534584_dm_226.95600_snr_22.69960.h5,226.956,13.76,144,1.45,10.622,1.843,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B142,./cand_tstart_59875.865612555557_tcand_62.5610000_dm_226.95600_snr_22.69960.h5,226.956,8.96,280,1.394,29.503,3.226,"[0.94269294, 0.99994576, 0.13605301, 0.026409772999999998, 0.007184353, 0.97211546, 0.0018022020000000001, 0.8437863000000001]",,
B143,./cand_tstart_59875.865612555557_tcand_62.5610000_dm_226.95700_snr_22.69960.h5,226.957,4.832,128,1.318,7.074,0.91,"[0.9443851999999999, 0.9999449, 0.13737959, 0.02843602, 0.007269060999999999, 0.9736809999999999, 0.001938526, 0.84152526]",,
B144,./cand_tstart_59875.867822333326_tcand_79.596524_dm_229.01500_snr_60.35440.h5,229.015,17.6,268,1.59,16.572,2.816,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B145,./cand_tstart_59875.867822333326_tcand_79.6279000_dm_229.01500_snr_60.35440.h5,229.015,10.72,340,1.418,67.182,7.715,"[0.7587144, 1.0, 0.9570970999999999, 0.9253037000000001, 0.011143766999999999, 0.9999998999999999, 0.99035114, 0.9975084999999999]",,
B146,./cand_tstart_59875.871988999999_tcand_32.1336000_dm_226.95700_snr_9.81250.h5,226.957,7.936,276,1.386,12.33,1.314,"[0.810521, 0.037249193, 0.003222262, 0.045759883, 0.008287164, 0.062181562, 0.00013237, 0.9299475]",,
B147,./cand_tstart_59875.871988999999_tcand_56.6010000_dm_233.25500_snr_38.76610.h5,233.255,8.704,328,1.574,43.469,4.608,"[0.5674056, 1.0, 0.9999806999999998, 0.53169787, 0.02513487, 1.0, 0.9999565999999999, 0.9998355999999999]",,
B148,./cand_tstart_59875.873377888885_tcand_46.4414000_dm_218.90400_snr_17.92740.h5,218.904,0.496,236,1.47,27.082,0.789,"[0.9999726999999999, 0.99983907, 0.9999809000000001, 0.99987435, 0.9999998999999999, 1.0, 0.9982151, 1.0]",,
B149,./cand_tstart_59875.874198777776_tcand_100.2110000_dm_222.89400_snr_10.34780.h5,222.894,4.352,100,1.278,17.884,2.617,"[0.999969, 0.9998584999999999, 0.9999896, 0.9995455, 0.9999988999999999, 0.99999976, 0.9791899, 1.0]",,
B150,./cand_tstart_59875.874198777776_tcand_103.6490000_dm_229.01600_snr_10.11680.h5,229.016,8.448,196,1.346,14.247,1.885,"[0.91121125, 0.9991260000000001, 0.0922158, 0.0020860460000000003, 0.003303628, 0.99698, 0.13007554, 0.9993549]",,
B151,./cand_tstart_59875.874198777776_tcand_34.2415000_dm_231.15500_snr_26.85360.h5,231.155,7.168,264,1.518,30.479,3.175,"[0.98906577, 1.0, 0.99995863, 0.7966553000000001, 0.015708951000000002, 1.0, 0.99746895, 0.998835]",,
B152,./cand_tstart_59875.874198777776_tcand_4.5976300_dm_231.15500_snr_15.05570.h5,231.155,6.4,204,1.638,20.414,2.562,"[0.6894423000000001, 1.0, 0.2931466, 0.003765203, 0.0052145920000000005, 0.9999993, 0.9978098, 0.99707186]",,
B153,./cand_tstart_59875.874198777776_tcand_74.2804000_dm_233.18900_snr_12.56670.h5,233.189,7.68,292,1.442,12.399,1.266,"[0.6128718000000001, 0.9998906999999999, 0.063563295, 0.026346385, 0.00588874, 0.9997687, 0.43250522, 0.98442024]",,
B154,./cand_tstart_59875.875587666662_tcand_115.5510000_dm_214.98500_snr_8.72142.h5,214.985,7.168,124,1.31,11.849,2.098,"[0.8809793, 0.000667154, 0.004193649, 0.94826037, 0.001812889, 0.30806133, 0.00025011, 0.000143958]",,
B155,./cand_tstart_59875.875587666662_tcand_31.4109000_dm_216.97000_snr_19.26610.h5,216.97,3.84,156,1.662,34.462,3.46,"[0.99982005, 0.999548, 1.0, 0.9999466999999999, 0.9994617, 0.8566999, 0.9962774, 1.0]",,
B156,./cand_tstart_59875.876976555555_tcand_17.0488000_dm_237.44000_snr_23.19870.h5,237.44,10.24,484,1.498,26.023,2.52,"[0.9148826999999999, 1.0, 0.7651868000000001, 0.6986109, 0.081624515, 1.0, 0.99744606, 0.9998741]",,
B157,./cand_tstart_59875.878365444441_tcand_2.1804800_dm_226.95700_snr_17.04770.h5,226.957,3.84,272,1.51,22.678,1.746,"[0.9999998999999999, 1.0, 1.0, 0.9997204, 1.0, 1.0, 0.9852963, 1.0]",,
B158,./cand_tstart_59875.879754333335_tcand_4.2701800_dm_243.96100_snr_21.03410.h5,243.961,15.776,216,1.346,28.254,4.918,"[0.0012371939999999998, 0.3650947, 0.00021009599999999998, 0.00011698399999999999, 0.000107421, 0.000127472, 7.120000000000001e-05, 4.78e-09]",,
B159,./cand_tstart_59875.879754333335_tcand_9.0467800_dm_224.96700_snr_28.77840.h5,224.967,7.2,268,1.602,37.2,4.223,"[0.14553083, 0.79326946, 0.18520620000000002, 0.03774655, 0.003934363, 0.21830668, 0.53325826, 0.7913371]",,
B160,./cand_tstart_59875.881964111111_tcand_36.4556000_dm_218.90400_snr_11.53980.h5,218.904,4.352,172,1.654,16.171,1.623,"[0.9999658000000001, 0.99996364, 0.9999975, 0.9996709999999999, 0.9999771000000001, 0.99999714, 0.9664205, 1.0]",,
B161,./cand_tstart_59875.883352999997_tcand_6.3099800_dm_226.95700_snr_13.99100.h5,226.957,6.912,148,1.374,17.495,2.247,"[0.9999964, 0.9999995, 1.0, 0.9998466, 1.0, 1.0, 0.9669853999999999, 1.0]",,
B162,./cand_tstart_59875.884741888891_tcand_73.2605000_dm_216.97000_snr_34.70020.h5,216.97,7.936,108,1.294,77.697,15.355,"[0.4828164000000001, 0.9999982, 0.98646855, 0.5865640000000001, 0.042506725, 0.97982544, 0.2332795, 0.9996295000000001]",,
B163,./cand_tstart_59875.888908555557_tcand_24.2885000_dm_216.93600_snr_13.42810.h5,216.936,3.84,60,1.45,26.349,3.741,"[0.9996450000000001, 0.8092906999999999, 0.99931383, 0.9986802, 0.9988079, 0.29706112, 0.001876169, 0.7982955]",,
B164,./cand_tstart_59875.888908555557_tcand_25.7601000_dm_222.94000_snr_38.55030.h5,222.94,5.888,168,1.33,70.349,8.895,"[0.9999511000000001, 1.0, 1.0, 0.99999857, 1.0, 1.0, 0.9967668, 1.0]",,
B165,./cand_tstart_59875.891118333326_tcand_75.1202000_dm_226.95600_snr_7.24365.h5,226.956,9.472,48,1.706,11.974,3.118,"[7.09e-06, 6.35e-05, 4.71e-06, 6.24e-05, 3.4e-05, 3.06e-06, 6.37e-07, 1.55e-06]",,
B166,./cand_tstart_59876.840219907404_tcand_111.1570000_dm_229.01500_snr_30.40780.h5,229.015,5.632,380,1.43,37.787,3.008,"[0.98101276, 1.0, 0.99846125, 0.73438877, 0.00173551, 0.9999998999999999, 0.99852103, 0.99800295]",,
B167,./cand_tstart_59876.840219907404_tcand_49.4341000_dm_229.01500_snr_13.79890.h5,229.015,7.424,172,1.438,14.334,1.691,"[0.000134341, 0.002657655, 5.79e-05, 2.8800000000000002e-05, 1.8600000000000002e-07, 5.5800000000000003e-08, 4.02e-05, 0.08950208]",,
B168,./cand_tstart_59876.840219907404_tcand_88.3141000_dm_224.96600_snr_7.11509.h5,224.966,4.352,368,1.47,8.171,0.572,"[0.9998925, 0.012502073, 0.9997011999999998, 0.99992, 0.99973065, 0.039393917, 0.0030743090000000003, 1.0]",,
B169,./cand_tstart_59876.841608796291_tcand_19.3299000_dm_231.15500_snr_31.96090.h5,231.155,56.32,268,1.374,35.048,10.044,"[0.14030945, 0.07264763, 1.1599999999999999e-05, 3.47e-05, 2.54e-06, 1.38e-10, 2.14e-12, 2.31e-09]",,
B170,./cand_tstart_59876.841608796291_tcand_6.1282200_dm_224.91600_snr_15.25430.h5,224.916,4.864,140,1.31,23.453,3.094,"[0.9999465, 0.99928325, 0.9999995, 0.9995219999999999, 1.0, 1.0, 0.37052470000000004, 0.9999995]",,
B171,./cand_tstart_59876.841608796291_tcand_62.1889000_dm_222.89300_snr_8.91104.h5,222.893,4.096,244,1.37,12.589,1.032,"[0.99986374, 0.99982566, 0.9998597, 0.99993837, 0.9999995, 0.9999603000000001, 0.5385993, 1.0]",,
B172,./cand_tstart_59876.841608796291_tcand_69.6089000_dm_226.95600_snr_13.35070.h5,226.956,10.496,216,1.63,15.472,2.487,"[0.4158313, 0.9987991, 0.01577894, 0.032158185, 0.002889729, 0.68129545, 0.7925488, 0.95622796]",,
B173,./cand_tstart_59876.841608796291_tcand_80.6459000_dm_233.18900_snr_22.79930.h5,233.189,23.296,352,1.47,25.8,4.301,"[0.003230532, 0.7508031999999999, 0.00027419799999999997, 0.19709727, 0.000181906, 0.11308827, 0.06350073, 5.19e-07]",,
B174,./cand_tstart_59876.842997685184_tcand_15.0489000_dm_226.95600_snr_28.84340.h5,226.956,4.096,172,1.654,40.642,4.214,"[0.9998474, 0.99999964, 1.0, 0.99966526, 0.9999795, 0.99228066, 0.9983138, 1.0]",,
B175,./cand_tstart_59876.842997685184_tcand_20.0195000_dm_229.07300_snr_43.25190.h5,229.073,8.96,228,1.574,45.492,6.553,"[0.60489064, 1.0, 0.9964504000000001, 0.9675927, 0.00048435199999999996, 1.0, 0.9755318000000001, 0.99828416]",,
B176,./cand_tstart_59876.844386574070_tcand_30.4471000_dm_226.95600_snr_14.73660.h5,226.956,12.288,212,1.39,18.794,2.697,"[0.8647069, 0.9999527, 0.046719927, 0.18094487, 0.021944907000000003, 0.9999733000000001, 0.90739745, 0.9999888000000001]",,
B177,./cand_tstart_59876.844386574070_tcand_65.0491000_dm_222.89300_snr_11.93820.h5,222.893,6.08,228,1.358,9.602,0.98,"[0.000550314, 0.0008667319999999999, 1.39e-06, 5.3299999999999995e-05, 1.21e-05, 1.32e-09, 3.82e-07, 1.71e-08]",,
B178,./cand_tstart_59876.845775462964_tcand_109.1500000_dm_229.01500_snr_12.70480.h5,229.015,7.168,320,1.482,11.808,1.145,"[0.9192123, 0.9999944, 0.2601539, 0.34000155, 0.1918364, 0.9999998999999999, 0.71933806, 0.9999831]",,
B179,./cand_tstart_59876.845775462964_tcand_20.9728000_dm_226.95600_snr_37.14050.h5,226.956,4.16,400,1.534,42.512,2.828,"[0.9997210999999999, 1.0, 1.0, 0.9999925, 1.0, 1.0, 1.0, 0.99999964]",,
B180,./cand_tstart_59876.845775462964_tcand_97.1424000_dm_222.89300_snr_13.28310.h5,222.893,4.608,92,1.286,17.089,2.426,"[0.9999814, 0.9939573, 1.0, 0.99987805, 0.9999925, 0.99993277, 0.99097615, 0.9999995]",,
B181,./cand_tstart_59876.847985240740_tcand_88.1550000_dm_229.01500_snr_16.68580.h5,229.015,8.704,260,1.358,25.135,2.832,"[0.9912559000000001, 0.9999994000000001, 0.7926306, 0.11557094, 0.008204656, 0.99990356, 0.6182948, 0.9791108000000001]",,
B182,./cand_tstart_59876.847985240740_tcand_96.8233000_dm_229.01500_snr_35.38320.h5,229.015,22.272,336,1.466,38.242,6.141,"[0.82320726, 1.0, 0.80893195, 0.68152523, 0.012380871000000002, 0.99999845, 0.99915946, 0.9999620000000001]",,
B183,./cand_tstart_59876.849374129626_tcand_64.5903000_dm_227.01100_snr_19.64030.h5,227.011,5.456,336,1.566,25.703,2.122,"[0.97984934, 0.9039325999999999, 0.23017721, 0.044213592999999995, 0.001957913, 0.062373165, 0.017750213, 0.6300981999999999]",,
B184,./cand_tstart_59876.850763018520_tcand_65.6621000_dm_227.01100_snr_35.05050.h5,227.011,4.928,404,1.538,38.774,2.827,"[0.99993193, 1.0, 1.0, 0.99999917, 1.0, 1.0, 1.0, 0.9999998999999999]",,
B185,./cand_tstart_59876.852151907406_tcand_114.0570000_dm_214.98500_snr_8.14310.h5,214.985,5.888,128,1.302,12.43,1.728,"[0.005961086, 0.040611204, 0.03088744, 1.4599999999999999e-05, 0.008007591, 0.06300475, 0.0008867710000000001, 0.0055713590000000006]",,
B186,./cand_tstart_59876.852151907406_tcand_119.1820000_dm_224.91600_snr_16.97780.h5,224.916,5.632,248,1.598,22.544,2.316,"[0.99999917, 1.0, 1.0, 0.99900657, 0.99999785, 1.0, 0.9951805, 1.0]",,
B187,./cand_tstart_59876.852151907406_tcand_32.1087000_dm_235.37500_snr_39.29220.h5,235.375,21.408,396,1.446,44.167,6.578,"[0.026257375, 0.99970144, 0.001610085, 0.63297904, 0.004124153, 0.9875823, 0.4709532, 1.07e-08]",,
B188,./cand_tstart_59876.852151907406_tcand_62.3889000_dm_231.15500_snr_17.73110.h5,231.155,15.616,268,1.382,20.074,2.923,"[0.0023015970000000003, 0.8835185999999999, 0.000210242, 0.2518251, 0.0005031619999999999, 0.014121876, 0.017865198, 1.79e-09]",,
B189,./cand_tstart_59876.853540796299_tcand_22.4544000_dm_229.01500_snr_26.20010.h5,229.015,5.52,324,1.574,22.821,1.976,"[0.9707336, 0.99870634, 0.39201993, 0.6811859, 0.019092113, 0.9756478000000001, 0.8458488000000001, 0.99832445]",,
B190,./cand_tstart_59876.853540796299_tcand_65.3266000_dm_229.01500_snr_11.45870.h5,229.015,3.84,160,1.658,13.91,1.445,"[0.9999099, 0.9999975, 0.99999845, 0.9999589, 0.9999924000000001, 0.9999998999999999, 0.44313827, 1.0]",,
B191,./cand_tstart_59876.854929685185_tcand_62.4784000_dm_224.91600_snr_29.62950.h5,224.916,7.168,96,1.286,60.596,11.041,"[0.17893456, 0.995122, 0.54474217, 0.001649469, 0.000630653, 0.011686806999999999, 0.01732846, 0.051214925999999994]",,
B192,./cand_tstart_59876.857139462954_tcand_11.3159000_dm_224.91600_snr_13.75500.h5,224.916,7.936,240,1.358,18.653,2.085,"[1.0, 1.0, 1.0, 0.9976884, 0.99999976, 1.0, 0.99993515, 1.0]",,
B193,./cand_tstart_59876.857139462954_tcand_114.5340000_dm_218.90300_snr_21.05960.h5,218.903,8.448,244,1.39,24.78,2.75,"[0.99717194, 0.9999995, 0.114729755, 0.6115005, 0.006629672, 0.9999976, 0.5790512, 0.9998964]",,
B194,./cand_tstart_59876.857139462954_tcand_57.1767000_dm_220.93200_snr_52.03610.h5,220.932,8.192,204,1.41,62.618,7.415,"[0.74805754, 0.99978966, 0.7165571, 0.068446755, 0.010516326000000001, 0.35376230000000003, 0.21412663, 0.9999408999999999]",,
B195,./cand_tstart_59876.857139462954_tcand_57.237724_dm_220.93200_snr_52.03610.h5,220.932,17.44,360,1.45,31.66,4.342,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B196,./cand_tstart_59876.858528351848_tcand_21.4169000_dm_224.91600_snr_7.28359.h5,224.916,4.608,276,1.594,9.913,0.836,"[0.9995678, 0.002082001, 0.9946295, 0.8808997, 0.9998758, 0.4538219, 2.15e-05, 1.0]",,
B197,./cand_tstart_59876.861306129627_tcand_74.2323000_dm_231.09300_snr_11.90080.h5,231.093,11.264,504,1.478,11.07,1.064,"[0.9980853999999999, 0.9931023000000001, 0.035850756, 0.38043758, 0.010527665, 0.99998224, 0.60344607, 0.9864405999999999]",,
B198,./cand_tstart_59876.862695018513_tcand_10.8199000_dm_233.18900_snr_11.88670.h5,233.189,10.752,152,1.662,14.742,2.476,"[0.3715867, 0.97261983, 0.00038450199999999994, 0.0051879859999999995, 0.00047638300000000004, 0.99727434, 0.82602936, 0.001379209]",,
B199,./cand_tstart_59876.862695018513_tcand_20.6057000_dm_220.93200_snr_18.10800.h5,220.932,2.304,276,1.594,22.941,1.382,"[1.0, 1.0, 1.0, 0.99987245, 0.9999998999999999, 1.0, 0.999956, 1.0]",,
B200,./cand_tstart_59876.863515907404_tcand_16.2388000_dm_222.94000_snr_23.31060.h5,222.94,5.632,192,1.422,30.564,3.034,"[1.0, 1.0, 1.0, 0.99996114, 1.0, 1.0, 0.9999937, 1.0]",,
B201,./cand_tstart_59876.863515907404_tcand_20.7857000_dm_218.94200_snr_9.30595.h5,218.942,1.792,388,1.546,9.044,0.387,"[0.999959, 0.9968754000000001, 1.0, 0.99992156, 1.0, 0.9999957, 0.9842026, 1.0]",,
B202,./cand_tstart_59877.847361111111_tcand_111.4640000_dm_224.91600_snr_14.86290.h5,224.916,4.096,500,1.49,17.365,1.012,"[1.0, 1.0, 1.0, 0.9971529, 1.0, 1.0, 0.9993581, 1.0]",,
B203,./cand_tstart_59877.847361111111_tcand_114.2840000_dm_222.89300_snr_11.02130.h5,222.893,9.472,224,1.378,12.335,1.522,"[0.9320745, 0.04836409, 0.001359948, 0.2727369, 0.03535722, 0.98115474, 0.000357005, 0.9012013000000001]",,
B204,./cand_tstart_59877.847361111111_tcand_18.5542000_dm_218.90300_snr_37.38540.h5,218.903,0.928,372,1.542,56.642,1.83,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999988000000001]",,
B205,./cand_tstart_59877.847361111111_tcand_82.7954000_dm_226.95600_snr_25.67710.h5,226.956,8.704,300,1.466,28.078,3.026,"[0.8636316999999999, 0.9999979999999999, 0.87667054, 0.42901713, 0.23928414, 0.99997234, 0.9744099, 0.99919933]",,
B206,./cand_tstart_59877.848749999997_tcand_20.8484000_dm_233.18900_snr_13.71920.h5,233.189,8.192,388,1.546,13.292,1.225,"[0.8888886, 0.9999753, 0.055738527, 0.09424315, 0.14002182, 0.9999981, 0.13564828, 0.9993716]",,
B207,./cand_tstart_59877.848749999997_tcand_63.9659000_dm_231.09300_snr_7.36862.h5,231.093,3.84,76,1.702,8.428,1.239,"[0.9984989, 5.3400000000000004e-05, 0.0005023180000000001, 0.47435752, 0.9464566999999999, 0.9898488999999999, 1.18e-06, 0.9999808000000001]",,
B208,./cand_tstart_59877.848749999997_tcand_7.1777300_dm_224.96600_snr_37.81050.h5,224.966,4.864,252,1.53,48.539,4.248,"[1.0, 1.0, 1.0, 0.99999976, 1.0, 1.0, 1.0, 1.0]",,
