BurstID,Candidate name,Heimdall DM (pc cm^-3),Time width (ms),Frequency width (MHz),Center frequency (GHz),S/N,Fluence (Jy),FETCH models,drift,drift err
B24,./cand_tstart_59869.881828703699_tcand_38.421364_dm_203.64500_snr_7.19343.h5,203.645,13.76,112,1.326,8.095,2.044,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B25,./cand_tstart_59869.881828703699_tcand_46.7305000_dm_226.95700_snr_20.12170.h5,226.957,10.496,328,1.498,22.815,2.634,"[0.9970457, 1.0, 0.06499424, 0.5444479, 0.006995976, 1.0, 0.99908173, 0.9996123]",,
B26,./cand_tstart_59869.883217592593_tcand_44.2542000_dm_218.90400_snr_9.66431.h5,218.904,2.304,260,1.358,10.246,0.666,"[0.9998011, 0.957781, 0.99976796, 0.99941945, 0.9999998999999999, 0.99999857, 0.9999068000000001, 1.0]",,
B27,./cand_tstart_59870.867743055554_tcand_61.1222000_dm_229.07400_snr_8.59024.h5,229.074,7.168,224,1.338,10.789,1.282,"[6.11e-06, 2.03e-06, 0.000222996, 0.00156923, 1.4599999999999999e-05, 6.75e-09, 7.709999999999999e-07, 7.13e-06]",,
B28,./cand_tstart_59870.867743055554_tcand_67.9014000_dm_237.44000_snr_7.06791.h5,237.44,8.704,304,1.586,9.362,1.018,"[0.17934512, 2.35e-05, 0.00012505, 0.00020841900000000003, 0.026790707999999996, 0.5327387, 1.4099999999999999e-05, 0.36144522]",,
B29,./cand_tstart_59870.869131944448_tcand_4.2448300_dm_229.01600_snr_15.40830.h5,229.016,9.728,352,1.506,15.219,1.64,"[0.97862566, 0.9999988999999999, 0.01729884, 0.2829558, 0.000461947, 0.999742, 0.97478545, 0.99996185]",,
B30,./cand_tstart_59870.869131944448_tcand_51.3134000_dm_218.94300_snr_18.44150.h5,218.943,5.744,132,1.362,21.681,2.806,"[0.85265595, 0.9997788000000001, 0.01041947, 0.17991765, 0.047445275, 0.9713175, 0.86989033, 0.96617746]",,
B31,./cand_tstart_59870.871909722227_tcand_104.5060000_dm_237.44000_snr_7.62741.h5,237.44,6.144,124,1.394,7.845,1.07,"[0.00141438, 8.58e-05, 5.59e-08, 0.000108904, 2.95e-06, 2.2399999999999998e-17, 1.66e-08, 1.6300000000000002e-07]",,
B32,./cand_tstart_59870.875508388890_tcand_107.6380000_dm_231.09300_snr_9.91606.h5,231.093,15.872,148,1.314,16.904,3.779,"[0.00215127, 0.000464467, 4.07e-05, 0.00016750400000000001, 0.00048123, 1.24e-05, 2.2899999999999998e-05, 8.86e-08]",,
B33,./cand_tstart_59870.875508388890_tcand_56.6039000_dm_229.01600_snr_11.04610.h5,229.016,11.264,300,1.498,13.045,1.599,"[0.20306587, 0.98968947, 0.021018912999999997, 0.000863778, 0.0026572109999999996, 0.9436184000000001, 0.0921054, 0.10983093]",,
B34,./cand_tstart_59870.876897277783_tcand_110.4600000_dm_237.44000_snr_9.49991.h5,237.44,10.752,232,1.342,10.074,1.338,"[0.015414721000000001, 3.02e-05, 1.2e-05, 1.28e-06, 9.22e-07, 9.470000000000001e-09, 1.01e-08, 1.46e-08]",,
B35,./cand_tstart_59870.876897277783_tcand_30.1999000_dm_231.15600_snr_22.08640.h5,231.156,6.144,416,1.53,20.824,1.599,"[0.5783505, 0.9896290999999999, 0.31746992, 0.020994767999999997, 0.0017976939999999999, 0.022378167, 0.6464538000000001, 0.9990225]",,
B36,./cand_tstart_59870.876897277783_tcand_80.0383000_dm_229.07400_snr_7.65050.h5,229.074,3.584,512,1.482,12.607,0.67,"[0.99995613, 0.99978775, 0.9999988999999999, 0.9985280000000001, 0.9999994000000001, 0.9999931000000001, 0.965198, 1.0]",,
B37,./cand_tstart_59870.881063944449_tcand_47.5347000_dm_224.91600_snr_8.09867.h5,224.916,4.352,256,1.61,9.778,0.835,"[0.9998965, 0.99967146, 0.9998745000000001, 0.9999825999999999, 0.9999993, 1.0, 0.7107803, 1.0]",,
B38,./cand_tstart_59870.881884833332_tcand_69.7508000_dm_224.96700_snr_50.41810.h5,224.967,8.368,380,1.426,142.423,16.616,"[0.45116755, 1.0, 1.0, 0.988367, 0.62368935, 1.0, 0.9995834000000001, 0.9999998999999999]",,
B39,./cand_tstart_59870.883273722218_tcand_18.9847000_dm_229.01600_snr_9.49279.h5,229.016,6.912,228,1.598,9.421,1.127,"[0.99992204, 0.9272383, 0.99991953, 0.9999720999999999, 0.9999998999999999, 0.99845004, 0.07120881, 1.0]",,
B40,./cand_tstart_59870.884662611112_tcand_33.2727000_dm_216.93600_snr_15.41050.h5,216.936,8.704,68,1.274,36.47,8.716,"[0.6154538, 0.6855852, 0.015307073999999999, 0.005288779, 0.008188006999999999, 0.036434114, 0.0034338959999999997, 6.559999999999999e-08]",,
B41,./cand_tstart_59870.886051499998_tcand_105.6800000_dm_222.94100_snr_15.57930.h5,222.941,3.072,188,1.514,21.039,1.801,"[1.0, 0.99980766, 1.0, 0.9981148000000001, 1.0, 0.9986173, 0.88108754, 1.0]",,
B42,./cand_tstart_59870.886051499998_tcand_36.9639000_dm_231.09300_snr_8.90553.h5,231.093,4.608,320,1.454,8.825,0.681,"[0.08960227, 0.0010397569999999999, 0.000148286, 8.379999999999999e-05, 1.6e-07, 2.26e-10, 9.57e-09, 3.9899999999999994e-05]",,
B43,./cand_tstart_59870.887440388891_tcand_1.5257600_dm_224.96700_snr_10.87130.h5,224.967,5.12,236,1.418,13.095,1.176,"[0.9904655000000001, 0.9999993, 0.9999925, 0.9999601999999999, 0.9999988000000001, 0.99999785, 0.649945, 1.0]",,
B44,./cand_tstart_59870.888829277777_tcand_59.0540000_dm_211.13700_snr_8.96209.h5,211.137,16.64,172,1.334,13.708,2.818,"[0.000485882, 0.006073381, 7.18e-06, 4.44e-06, 2.4100000000000003e-05, 2.8600000000000005e-09, 5.88e-08, 5.47e-08]",,
B45,./cand_tstart_59871.861365740740_tcand_49.3092000_dm_226.95700_snr_20.74210.h5,226.957,8.96,212,1.478,19.37,2.541,"[0.9965503000000001, 0.99999785, 0.25877002, 0.49650806, 0.008929215, 0.99999654, 0.9836304, 0.98720896]",,
B46,./cand_tstart_59871.866921296300_tcand_20.7644000_dm_222.89400_snr_50.31410.h5,222.894,9.984,260,1.386,66.2,8.219,"[0.52338684, 1.0, 0.9999901, 0.8996898000000001, 0.15986721, 1.0, 0.9868203999999999, 0.9802634]",,
B47,./cand_tstart_59871.866921296300_tcand_28.2306000_dm_222.89400_snr_17.91300.h5,222.894,14.08,148,1.386,21.534,4.211,"[0.09371311, 0.008867801, 0.001430291, 0.06526169, 0.012729862, 1.9600000000000002e-05, 0.0018960679999999999, 3.69e-09]",,
B48,./cand_tstart_59871.866921296300_tcand_82.3360000_dm_218.94300_snr_48.06170.h5,218.943,1.424,348,1.414,234.527,11.62,"[0.83876956, 1.0, 0.99999976, 0.9966684000000001, 0.99997795, 1.0, 0.9999596, 0.9999454]",,
B49,./cand_tstart_59871.868310185186_tcand_25.1458000_dm_226.95700_snr_18.30600.h5,226.957,5.888,220,1.35,24.747,2.734,"[0.46035996, 0.99522865, 0.24626528, 0.020439606000000003, 0.023692373, 0.28775890000000004, 0.39544678, 0.9969996999999999]",,
B50,./cand_tstart_59871.868310185186_tcand_59.4644000_dm_239.59400_snr_111.25700.h5,239.594,10.256,500,1.49,115.531,11.081,"[0.38808176, 1.0, 0.9999949, 0.9949392, 0.27423359999999997, 1.0, 1.0, 0.9993690999999999]",,
B51,./cand_tstart_59871.869131074076_tcand_59.3087000_dm_222.94100_snr_32.36710.h5,222.941,5.888,360,1.502,49.681,4.262,"[0.992409, 1.0, 0.9999713, 0.8958724, 0.12671252, 1.0, 0.9960834000000001, 0.9989498]",,
B52,./cand_tstart_59871.870519962962_tcand_105.0280000_dm_226.95700_snr_11.39450.h5,226.957,5.376,208,1.35,12.413,1.346,"[1.5399999999999998e-05, 0.0006647889999999999, 1.24e-06, 3.289999999999999e-05, 0.000231903, 4.29e-06, 5.78e-07, 2.17e-07]",,
B53,./cand_tstart_59871.874686629635_tcand_66.3677000_dm_200.00000_snr_9.55335.h5,200,11.264,252,1.354,7.044,1.024,"[0.005071835, 0.000139229, 7.47e-07, 0.00278337, 1.22e-05, 8.689999999999999e-08, 2.77e-07, 1.8e-09]",,
B54,./cand_tstart_59871.874686629635_tcand_9.2571800_dm_224.91600_snr_29.23670.h5,224.916,6.992,360,1.458,37.734,3.346,"[0.78925693, 0.9999701999999999, 0.63164824, 0.026722588, 0.007257128000000001, 0.70514697, 0.7850387, 0.9993603999999999]",,
B55,./cand_tstart_59871.878285296290_tcand_41.5442000_dm_235.30500_snr_9.38017.h5,235.305,11.264,268,1.434,9.124,1.215,"[0.005804568, 5.7100000000000006e-05, 4.61e-06, 6.259999999999999e-08, 1.9e-06, 2.5099999999999996e-08, 9.16e-06, 5.23e-10]",,
B56,./cand_tstart_59871.879674185184_tcand_113.9360000_dm_237.44000_snr_9.20174.h5,237.44,10.496,356,1.482,10.294,1.135,"[0.89250964, 0.9970503000000001, 0.0037032540000000004, 0.06785579, 0.008622234, 0.9996655999999999, 0.58355236, 0.9533146999999998]",,
B57,./cand_tstart_59871.879674185184_tcand_45.1936000_dm_222.89400_snr_9.85386.h5,222.894,4.608,408,1.43,8.295,0.581,"[0.0019066320000000001, 0.0029648340000000004, 0.000917172, 0.001922214, 0.11549047400000001, 3.3599999999999996e-08, 9.65e-06, 0.000140839]",,
B58,./cand_tstart_59871.879674185184_tcand_95.0126000_dm_220.89000_snr_9.79002.h5,220.89,6.144,180,1.318,15.194,1.929,"[0.9999665000000001, 0.99982446, 0.99999964, 0.99971, 1.0, 0.99998593, 0.9925625, 1.0]",,
B59,./cand_tstart_59871.884661740740_tcand_51.4702000_dm_237.44000_snr_11.27040.h5,237.44,8.192,348,1.43,11.075,1.13,"[0.00324186, 0.010689783999999999, 1.17e-06, 6.070000000000001e-07, 1.76e-05, 1.17e-10, 3.46e-06, 7.54e-10]",,
B60,./cand_tstart_59871.884661740740_tcand_90.6456000_dm_229.01600_snr_25.92800.h5,229.016,8.96,344,1.522,31.857,3.454,"[0.9997315000000001, 1.0, 0.99936205, 0.5398144, 0.03983282, 1.0, 0.9999461, 0.99943787]",,
B61,./cand_tstart_59871.887439518519_tcand_104.8790000_dm_231.09300_snr_19.19800.h5,231.093,8.448,344,1.566,25.42,2.592,"[0.007233051999999999, 0.031016247, 0.001086682, 2.46e-06, 1.06e-05, 0.000109244, 2.07e-06, 0.9507317]",,
B62,./cand_tstart_59871.888828407406_tcand_91.912048_dm_246.17500_snr_24.46900.h5,246.175,9.92,72,1.29,7.344,1.735,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B63,./cand_tstart_59871.888828407406_tcand_91.9328000_dm_246.17500_snr_24.46900.h5,246.175,11.52,96,1.274,29.579,7.529,"[6.03e-07, 0.013738168, 1.97e-06, 2.0600000000000003e-05, 3.79e-05, 5.88e-06, 2.5300000000000002e-05, 7.659999999999999e-09]",,
B64,./cand_tstart_59871.890217296299_tcand_1.8380800_dm_226.95700_snr_29.86050.h5,226.957,16.896,356,1.434,30.912,4.324,"[5.05e-05, 0.8728975, 0.0005788330000000001, 1.48e-07, 0.000228355, 0.061377577, 0.68544734, 1.63e-08]",,
B65,./cand_tstart_59871.890217296299_tcand_45.2819000_dm_218.90400_snr_15.28700.h5,218.904,19.2,196,1.326,18.808,3.966,"[0.9218284, 0.9999979999999999, 0.012303956999999999, 0.008232539, 0.00500012, 0.9984023999999999, 0.066858545, 0.33880138]",,
B66,./cand_tstart_59871.890217296299_tcand_45.303164_dm_218.90400_snr_15.28700.h5,218.904,14.4,124,1.31,10.582,2.459,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B67,./cand_tstart_59871.900192407404_tcand_26.6752000_dm_229.01600_snr_22.49280.h5,229.016,6.912,380,1.458,31.701,2.719,"[1.0, 1.0, 1.0, 0.9999056999999999, 1.0, 1.0, 0.9999502, 1.0]",,
B68,./cand_tstart_59873.850960648146_tcand_89.0982000_dm_226.95600_snr_16.78180.h5,226.956,6.4,220,1.49,18.604,1.991,"[0.95637923, 0.99999917, 0.82851416, 0.49330577, 0.002407226, 0.9998703999999999, 0.84630316, 0.9952402]",,
B69,./cand_tstart_59873.852349537032_tcand_4.9492200_dm_218.90300_snr_16.42690.h5,218.903,0.688,236,1.518,19.273,0.669,"[1.0, 0.99933124, 1.0, 0.9998466999999999, 1.0, 1.0, 0.9977302, 1.0]",,
B70,./cand_tstart_59873.860114870367_tcand_10.3956000_dm_224.91600_snr_13.59260.h5,224.916,5.12,212,1.606,15.072,1.595,"[0.99998915, 0.99999535, 1.0, 0.99906904, 1.0, 1.0, 0.99434185, 1.0]",,
B71,./cand_tstart_59873.860114870367_tcand_17.1013000_dm_231.15500_snr_15.35450.h5,231.155,7.168,276,1.434,17.328,1.772,"[0.9994276, 0.9999901, 0.9837601, 0.3364156, 0.26581550000000004, 0.9998640999999999, 0.94240564, 0.9981076999999999]",,
B72,./cand_tstart_59873.861503759261_tcand_113.6800000_dm_224.91600_snr_22.26380.h5,224.916,20.224,316,1.554,25.487,4.26,"[0.09443413, 0.9769846, 0.001846485, 4.71e-05, 0.000182382, 0.055597477, 0.08665236, 5.320000000000001e-09]",,
B73,./cand_tstart_59873.866491314810_tcand_34.4961000_dm_231.09300_snr_17.37300.h5,231.093,7.168,288,1.382,20.862,2.04,"[0.9999833, 0.99999964, 0.8443883, 0.41732106, 0.035949823, 1.0, 0.9813943000000002, 0.99995553]",,
B74,./cand_tstart_59873.869269092589_tcand_19.0137000_dm_224.91600_snr_13.92720.h5,224.916,5.632,232,1.362,16.149,1.621,"[0.8929705, 0.9935575000000001, 0.30011767, 0.9056421999999998, 0.003783426, 0.99741155, 0.13683879999999998, 0.99968755]",,
B75,./cand_tstart_59873.872046870369_tcand_60.5260000_dm_224.91600_snr_17.27230.h5,224.916,3.808,328,1.494,17.506,1.208,"[1.0, 0.99999774, 1.0, 0.99981123, 1.0, 1.0, 0.97871417, 1.0]",,
B76,./cand_tstart_59873.874256648145_tcand_108.5220000_dm_222.89300_snr_7.69203.h5,222.893,6.4,396,1.438,8.802,0.731,"[0.9999689, 0.9999455, 0.99999094, 0.99987805, 0.99999976, 0.99989676, 0.66577417, 1.0]",,
B77,./cand_tstart_59873.875645537031_tcand_88.8193000_dm_220.88900_snr_28.73500.h5,220.889,5.44,128,1.29,58.431,8.153,"[0.99953246, 0.99975306, 0.9999963, 0.9999424000000001, 1.0, 0.99994206, 0.98291403, 0.9999998999999999]",,
B78,./cand_tstart_59873.877034425925_tcand_109.2470000_dm_229.01500_snr_28.01140.h5,229.015,5.376,428,1.51,29.779,2.166,"[1.0, 1.0, 1.0, 0.9999988999999999, 1.0, 1.0, 0.9999995, 1.0]",,
B79,./cand_tstart_59873.877034425925_tcand_14.5838000_dm_226.95600_snr_28.37280.h5,226.956,6.144,220,1.422,33.324,3.278,"[0.7331058000000001, 1.0, 0.33134168, 0.45616624, 0.0036248440000000003, 0.9998921000000001, 0.9225759, 0.9961029]",,
B80,./cand_tstart_59873.877034425925_tcand_64.8004000_dm_226.95600_snr_8.33290.h5,226.956,9.984,356,1.418,13.813,1.581,"[0.00011439700000000001, 0.88466203, 9.55e-06, 0.002798395, 9.32e-05, 0.17949302, 0.002026653, 0.9299741]",,
B81,./cand_tstart_59873.883410870367_tcand_108.1500000_dm_231.09300_snr_7.29625.h5,231.093,8.192,108,1.294,7.75,1.51,"[0.00022884, 0.000131719, 2.27e-06, 0.000131171, 0.00032523700000000003, 3.14e-05, 4.51e-06, 0.04775519]",,
B82,./cand_tstart_59873.884799759260_tcand_50.2082000_dm_229.01500_snr_22.78950.h5,229.015,10.752,284,1.37,31.939,3.826,"[0.90042114, 0.9999995, 0.70802915, 0.2084093, 0.013998452, 0.99998355, 0.8334763000000001, 0.99999845]",,
